"","sites","x","y","urban","wetland","rabbit","rain1","rain2","rain3","rain4","y1","y2","y3","y4"
"22",205,11,5,0.60251484271914,0.31172883757383,2.48792752832751,1,1,0,0,0,0,0,0
"23",91,5,11,0.693045677986929,0.608598747678979,1.96129332473413,1,0,1,0,0,0,0,0
"24",24,2,4,0.846373586554816,0.484624482073758,1.78558449827072,1,0,1,0,0,0,0,0
"25",37,2,17,0.385939058928551,0.322379799799535,3.74274103503032,0,1,1,0,0,0,0,0
"26",377,19,17,0.324265817658395,0.471203035511533,0.667802844909192,0,0,1,0,0,0,0,0
"27",315,16,15,0.0980144761484587,0.504894268416385,0.350238998645148,1,0,0,1,0,0,0,0
"28",221,12,1,0.655557641290172,0.459458143240606,2.72077061548138,1,0,0,0,0,0,0,0
"29",341,18,1,0.892824349100066,0.409102081836907,6.09811198135339,1,1,0,0,0,0,0,0
"30",106,6,6,0.514453117444093,0.173369656781955,1.14839534500467,1,1,0,1,0,0,0,0
"31",146,8,6,0.484461737302844,0.125144363555431,3.60891120523476,0,1,0,0,1,0,1,1
"32",307,16,7,0.538741997356755,0.38908619098416,0.868246784235334,0,1,1,0,0,0,0,0
"33",142,8,2,0.612553110534546,0.632584233347625,0.68070850794696,1,0,0,0,0,0,0,0
"34",148,8,8,0.335176768684039,0.182252318042264,3.62839408250969,0,0,0,0,0,0,0,0
"35",120,6,20,0.316960317493357,0.465845328871224,1.0656937411041,0,0,1,0,0,0,0,0
"36",42,3,2,0.791293592546978,0.406348860825802,0.260734915702522,0,0,0,0,0,0,0,0
"37",261,14,1,0.642680763520986,0.402950449213539,1.36140518149448,1,0,0,0,0,1,0,1
"38",309,16,9,0.296809606002257,0.282483607212723,1.59865011922903,1,0,0,1,0,0,0,0
"39",163,9,3,0.740451617697008,0.47296658948412,1.32937848856966,0,1,0,1,0,0,0,0
"40",204,11,4,0.636117334299864,0.440609004068243,1.76330963645546,1,0,0,1,0,0,0,0
"41",361,19,1,1,0.522483906812139,7.33254688374447,0,1,1,0,1,1,1,1
"42",166,9,6,0.46882538568638,0.5681565225085,2.19667818946042,0,0,1,1,0,0,0,0
"43",14,1,14,0.410081322439704,0.425671588537282,1.22131135569036,0,1,0,1,0,0,0,0
"44",112,6,12,0.699421678717499,0.675936219396494,1.68909449946654,0,1,0,0,0,0,0,0
"45",388,20,8,0.768553000223408,0.288949065299607,4.46525491308611,0,1,1,1,0,0,1,0
"46",88,5,8,0.398905193263159,0.414035162050796,0.687232748561002,1,0,0,1,0,0,0,0
"47",71,4,11,0.439985993893769,0.431739490285909,1.70204590653508,1,0,1,0,0,0,0,0
"48",278,14,18,0.403781863566811,0.271579607164098,3.1080858963559,0,0,1,0,1,0,0,1
"49",383,20,3,0.849744740121579,0.529301203384373,1.01796745638117,1,1,0,1,0,0,0,0
"50",375,19,15,0.0488537878292267,0.56369350924902,0.781132590638781,1,0,1,0,0,0,1,0
"51",144,8,4,0.593989606445353,0.368977248769561,1.08465490298269,0,1,1,0,0,0,0,0
"52",262,14,2,0.757168465517685,0.34877690492487,2.7885340189264,0,0,0,0,0,0,0,0
"53",272,14,12,0.283164463673189,0.506970402911203,0.384672941605255,0,1,0,0,0,0,0,0
"54",273,14,13,0.184656076957155,0.620180957313985,2.09153125440619,1,1,0,1,0,0,0,0
"55",347,18,7,0.569795174009276,0.0856552508269066,3.6881585646649,0,0,1,0,0,0,1,0
"56",124,7,4,0.605732310427942,0.398002692288152,0.318325723142564,1,0,1,0,0,0,0,0
"57",351,18,11,0.237584221446706,0.443005605670172,0.152229362223101,0,0,1,1,0,0,0,0
"58",211,11,11,0.572781504969215,0.44345501906068,3.2869694454829,0,1,1,0,0,0,0,0
"59",57,3,17,0.27143337983813,0.29159801721383,3.99883497867804,0,1,0,1,0,0,1,0
"60",358,18,18,0.525515960329658,0.426847523832007,0.546539515674314,1,1,0,0,0,0,0,0
"61",77,4,17,0.31090921219587,0.12026693610294,3.05780796823335,0,0,1,0,0,0,0,1
"62",228,12,8,0.530714405841221,0.598208551835655,4.15175035389365,0,0,1,0,1,0,0,1
"63",93,5,13,0.651870799363918,0.198798666391679,2.09921532375229,0,0,0,0,0,0,0,0
"64",46,3,6,0.50790712322923,0.706080013597532,2.06193300481307,1,1,0,0,0,0,0,1
"65",119,6,19,0.325289537211522,0.262497125334667,2.31045869122888,0,0,1,0,0,0,0,0
"66",247,13,7,0.499120274085529,0.628595897196847,3.16934882844604,0,0,0,0,1,1,1,0
"67",60,3,20,0.305235190996396,0.440898841210951,0.845010444206938,1,0,1,0,0,0,0,0
"68",17,1,17,0.46427068900432,0.406384889769799,3.32916759595662,0,1,1,1,1,0,0,1
"69",49,3,9,0.376773840643088,0.541070873035327,1.56671448620045,0,0,1,0,0,0,0,0
"70",79,4,19,0.314455472693354,0.407606096660931,2.87659608201133,0,1,0,1,0,0,0,0
"71",123,7,3,0.657829679172622,0.693362684096655,1.32789198017106,1,0,0,0,1,1,0,0
"72",364,19,4,0.673406663120758,0.43778245133563,2.89655907902436,0,1,1,1,0,0,0,0
"73",372,19,12,0.148186865271867,0.633591515644178,0.377799192333861,1,1,1,0,0,0,0,0
"74",147,8,7,0.325823080998034,0.0121074865679446,2.28859241383098,0,0,0,0,0,0,0,0
"75",86,5,6,0.466690148155008,0.422913208060097,1.15187795786108,1,1,0,1,0,0,0,0
"76",137,7,17,0.363892708241858,0.4004686548813,1.97621898106624,0,1,0,0,0,0,0,0
"77",400,20,20,0.555827000576892,0.440376566878582,4.1045529098587,1,1,0,0,0,0,0,0
"78",305,16,5,0.6449173978145,0.395179096328367,2.17048681304361,0,1,1,0,1,0,1,1
"79",310,16,10,0.420743715011467,0.449584225092636,0.821722682849256,0,0,0,1,0,0,0,0
"80",2,1,2,0.645097748467449,0.581512746844727,0.321494824144647,0,0,0,0,0,0,0,0
"81",281,15,1,0.730584762120279,0.360006261816552,1.32547935046487,0,0,1,0,0,0,0,0
"82",100,5,20,0.235688497451051,0.52616886103561,0.447221973651424,1,0,0,0,0,0,0,0
"83",185,10,5,0.581210576296705,0.328932379750938,1.68559001692498,1,0,0,0,0,0,0,0
"84",85,5,5,0.618968321015988,0.377944111335209,0.22207008986905,0,0,0,0,0,0,0,0
"85",316,16,16,0.284923185654704,0.571869097459272,1.01584839024839,1,0,1,1,0,0,0,0
"86",232,12,12,0.454581774270898,0.482296707673974,0.374090676551776,0,0,1,1,0,0,0,0
"87",376,19,16,0.121804230842996,0.739314951579813,0.784406715355761,1,0,0,0,0,0,0,0
"88",191,10,11,0.561219757994598,0.506571161170258,3.62114539411623,1,1,1,1,0,0,0,1
"89",373,19,13,0.163143664789614,0.579539368281453,1.58883589310125,0,1,1,0,0,0,0,0
"90",76,4,16,0.349624564412573,0.172429203897374,4.09320721054302,0,1,0,1,0,0,0,0
"91",343,18,3,0.749815987120743,0.389579916963073,4.18155457578454,0,1,1,0,0,0,0,0
"92",395,20,15,0.166698891753845,0.485703812759719,1.08946008478914,1,1,0,1,0,0,0,0
"93",258,13,18,0.532270883280989,0.207180753031694,3.97691166692751,0,0,1,1,0,0,0,0
"94",174,9,14,0.613799022456366,0.428910026538518,3.13075074623902,0,0,0,1,1,1,0,0
"95",19,1,19,0.401797306804807,0.365559148811834,1.99987410230681,0,1,0,0,0,0,0,0
"96",378,19,18,0.470594171873148,0.498781516548817,0.416582942123661,0,0,1,0,0,0,0,0
"97",207,11,7,0.616019054389909,0.567430578743336,3.14255318808111,0,1,0,1,0,0,0,0
"98",74,4,14,0.484550334523631,0.0284030137819772,2.02435150830047,0,0,1,0,0,0,0,0
"99",134,7,14,0.408309095938221,0.521354606810295,5.15148842041564,0,0,1,0,0,0,0,0
"100",245,13,5,0.466688388642325,0.359186895997859,1.86248515051771,1,1,1,1,0,0,0,0
