Site,k.1,k.2,k.3
SILV.SS02,0,0,0
SILV.SS04,0,0,0
SILV.SS06,0,0,0
SILV.SS08,0,0,0
STRA.KS02,0,0,0
STRA.KS04,0,0,0
STRA.KS06,0,0,0
STRA.KS08,0,0,0
STRA.KS10,0,0,0
STRA.SS02,0,0,0
STRA.SS04,0,0,0
STRA.SS06,0,0,0
STRA.SS10,0,0,0
SULO.EH04,0,0,0
SULO.EH06,0,0,0
SULO.EH08,0,0,0
SULO.EH10,0,0,0
TAMA.LS02,1,0,0
TAMA.LS04,1,1,1
TAMA.LS06,0,0,0
TAMA.LS08,0,0,1
TAMA.LS10,0,1,0
TAMA.MS02,1,0,1
TAMA.MS04,0,0,0
TAMA.MS06,0,0,1
TAMA.MS08,0,0,0
VIST.RG02,1,0,0
VIST.RG06,1,0,0
VIST.RG08,1,0,0
VIST.RM04,1,1,1
VIST.RM06,0,0,0
VIST.RM08,0,0,0
VIST.RM10,0,0,0
